table_id,calendar_year,recid,symbol,page,schedule_number,base_schedule_number,fund_code,fund_name,table_kind,column_boundaries,row_count,csv_path
2017-p049-other-transfer-allocation-internal-transfers-1.14.1-y076,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,49,1.14.1,1.14,DRA,United Nations Institute for Disarmament Research,other_transfer_allocation_internal_transfers,"[0.0, 211.23, 356.41, 613.0]",7,data/trust-fund-schedules/stage1/tables/2017-p049-other-transfer-allocation-internal-transfers-1.14.1-y076.csv
2017-p050-financial-position-1.15-y140,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,50,1.15,1.15,EER,Trust Fund in support of the UN Coordinated Response to the Ebola Crisis,financial_position,"[0.0, 310.88, 403.38, 498.52, 613.0]",35,data/trust-fund-schedules/stage1/tables/2017-p050-financial-position-1.15-y140.csv
2017-p051-financial-performance-1.15-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,51,1.15,1.15,EER,Trust Fund in support of the UN Coordinated Response to the Ebola Crisis,financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p051-financial-performance-1.15-y115.csv
2017-p052-other-transfer-allocation-contributions-1.15.1-y096,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,52,1.15.1,1.15,EER,Trust Fund in support of the UN Coordinated Response to the Ebola Crisis,other_transfer_allocation_contributions,"[0.0, 219.34, 302.38, 389.67, 613.0]",4,data/trust-fund-schedules/stage1/tables/2017-p052-other-transfer-allocation-contributions-1.15.1-y096.csv
2017-p053-financial-position-1.16-y149,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,53,1.16,1.16,GLA,Trust Fund in support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,financial_position,"[0.0, 310.89, 403.39, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p053-financial-position-1.16-y149.csv
2017-p054-financial-performance-1.16-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,54,1.16,1.16,GLA,Trust Fund in support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p054-financial-performance-1.16-y115.csv
2017-p055-voluntary-contribution-1.16.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,55,1.16.1,1.16,GLA,Trust Fund in support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",9,data/trust-fund-schedules/stage1/tables/2017-p055-voluntary-contribution-1.16.1-y087.csv
2017-p056-financial-position-1.17-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,56,1.17,1.17,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),financial_position,"[0.0, 302.59, 399.24, 498.53, 613.0]",35,data/trust-fund-schedules/stage1/tables/2017-p056-financial-position-1.17-y146.csv
2017-p057-financial-performance-1.17-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,57,1.17,1.17,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p057-financial-performance-1.17-y115.csv
2017-p058-voluntary-contribution-receivable-1.17.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,58,1.17.1,1.17,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",6,data/trust-fund-schedules/stage1/tables/2017-p058-voluntary-contribution-receivable-1.17.1-y087.csv
