calendar_year,fund_code,fund_name,base_schedule_number,recid,first_pdf_page
2018,DUN,Trust Fund for Digital Agenda,6.20,3930166.0,401
2018,DVA,Trust Fund for Development Planning and Projections,3.6,3930166.0,174
2018,DXA,Trust Fund for Disaster Reduction,4.8,3930166.0,305
2018,EAA,"United Nations Electronic Data Interchange for Administration, Commerce and Transport",3.7,3930166.0,176
2018,ECE,ECE Local Technical Co-operation Trust Funds,3.8,3930166.0,178
2018,EER,Trust Fund in Support of the UN Coordinated Response to the Ebola Crisis,1.15,3930166.0,50
2018,EHA,UN/ECE Trust Fund on Human Settlements,3.9,3930166.0,183
2018,EIA,"Trust Fund for Environmental Performance Reviews and the ""Environment for Europe""",3.10,3930166.0,186
2018,ERA,Development Forum Trust Fund,5.1,3930166.0,338
2018,ESA,Trust Fund for Economic and Social Information,5.2,3930166.0,340
2018,FII,Trust Fund on Indigenous Issues,3.11,3930166.0,189
2018,FYA,United Nations Trust Fund on Family Activities,3.12,3930166.0,192
2018,GAC,Trust Fund in Support of the Office of the President of the General Assembly,6.5,3930166.0,358
2018,GBA,Trust Fund for Statistical Development and Capacity Building,3.13,3930166.0,194
2018,GCU,United Nations Trust Fund for Government Contributions to UNICS,5.3,3930166.0,343
2018,GIV,Trust Fund to Support Global Impact and Vulnerability Alert System,6.6,3930166.0,361
2018,GKA,Global Compact Trust Fund,3.14,3930166.0,197
2018,GLA,Trust Fund in Support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,1.16,3930166.0,52
2018,GNA,Trust Fund for the International Tribunal for the Prosecution of Persons Responsible for Genocide and Other Serious Violations of International Humanitarian Law Committed in the Territory of Rwanda,2.3,3930166.0,132
2018,GTA,Trust Fund for German Language Translation,6.7,3930166.0,364
2018,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),1.17,3930166.0,55
2018,HBP,Trust Fund for the Implementation of HLCM Plan of Action for the Harmonization of Business Practices in the United Nations system,6.8,3930166.0,367
2018,HCA,Trust Fund for the Support to the Activities of the Centre for Human Rights,4.9,3930166.0,309
2018,HDM,ECA as Executing Agency for Miscellaneous Technical Co-operation Funds,3.15,3930166.0,200
2018,HIA,Trust Fund to Support Activities for the Follow-up to the International Conference on Financing for Development,3.16,3930166.0,204
2018,HKA,Trust Fund in Support of the Political Transition in Haiti,1.18,3930166.0,58
2018,HYA,Trust Fund for Human Security,4.10,3930166.0,314
2018,IDA,United Nations Voluntary Fund on Disability,3.17,3930166.0,207
2018,IDP,African Institute for Economic Development and Planning,3.41,3930166.0,279
2018,IEA,United Nations Youth Fund,3.18,3930166.0,210
2018,IHA,United Nations Voluntary Fund for Indigenous Populations,4.11,3930166.0,317
2018,IIT,Trust Fund in Support of the Implementation of the rkp`o OPTV (OMNT),1.42,3930166.0,121
2018,IOA,Voluntary Trust Fund to Support the Activities of the International Tribunal Established by Security Council Resolution UOT (NVVP),2.4,3930166.0,134
2018,JMS,Trust Fund for the AU-UN Joint Mediation Support Team (JMST) for Darfur,1.19,3930166.0,60
2018,JPO,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs,3.20,3930166.0,212
2018,JTA,Trust Fund for the Millennium Assembly and the Millennium Summit of the United Nations,6.9,3930166.0,370
2018,KJA,Trust Fund to Assist Members of the Commission on the Limits of the Continental Shelf from Developing States to Participate in its Meetings,2.5,3930166.0,137
2018,KRT,UNAKRT - UN Assistance for the Khmer Rouge Trails,3.21,3930166.0,215
2018,KSA,Trust Fund in Support of the United Nations Forum on Forests,3.22,3930166.0,218
2018,KUA,Trust Fund to Assist Developing States in the Preparation of Submissions to the Commission on the Limits of the Continental Shelf,2.6,3930166.0,140
2018,LAC,ECLAC - Miscellaneous project accounts,3.23,3930166.0,221
2018,LEA,Library Endowment Fund,6.10,3930166.0,373
2018,LJA,Trust Fund for Special Projects of the Secretary-General,6.11,3930166.0,375
2018,LLA,Trust Fund in Support of the Department of Peacekeeping Operations,1.20,3930166.0,63
2018,LLS,"Trust Fund in Support of Activities Undertaken by the Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (OHRLLS)",3.24,3930166.0,224
2018,LPD,Trust Fund to Support Lasting Peace in Darfur,1.21,3930166.0,66
2018,LRA,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution,3.25,3930166.0,227
2018,LSS,Trust Fund for UNOG Local Support Services,6.12,3930166.0,379
2018,LTA,Trust Fund for the ECE Study on Long-Term European Timber Trends and Prospects,3.26,3930166.0,231
2018,MIS,Trust Fund in Support of the African-led International Support Mission in the Central African Republic (MISCA),1.22,3930166.0,68
2018,MNA,Voluntary Trust Fund for Assistance in Mine Action,4.12,3930166.0,320
