PRIORITY_AREA,PART_ID,PART_DESCRIPTION,SECTION_ID,SECTION_DESCRIPTION,ENTITY,YEAR,FINANCIAL_YEAR,AMOUNT,SOURCE_TYPE,REFERENCE,NOTE
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MONUSCO,2024,2023/24,1000358900.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSMA,2024,2023/24,833809900.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSCA,2024,2023/24,1142981500.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINURSO,2024,2023/24,64209100.0,Other Assessed,A/79/788,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2024,2023/24,100248800.0,Other Assessed,A/79/680,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNOAU,2024,2023/24,10240800.0,Other Assessed,A/79/680,
Effective functioning of the organization,VIII,Common support services,29B,Department of Operational Support,DOS,2024,2023/24,111639100.0,Other Assessed,A/79/680,
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2024,2023/24,41505100.0,Other Assessed,A/79/680,
Effective functioning of the organization,VIII,Common support services,29C,Office of Information and Communications Technology,OICT,2024,2023/24,18961900.0,Other Assessed,A/79/680,
Effective functioning of the organization,IX,Internal oversight,30,Internal oversight,OIOS,2024,2023/24,32541700.0,Other Assessed,A/79/680,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2023/24,1238100.0,Other Assessed,A/79/680,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OVRA,2024,2023/24,49700.0,Other Assessed,A/79/680,
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSC-SEA,2024,2023/24,56100.0,Other Assessed,A/79/680,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",AOJ,2024,2023/24,452700.0,Other Assessed,A/79/680,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSLA,2024,2023/24,150800.0,Other Assessed,A/79/680,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OMBUD,2024,2023/24,2592500.0,Other Assessed,A/79/680,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ETHICS,2024,2023/24,960200.0,Other Assessed,A/79/680,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2023/24,4204600.0,Other Assessed,A/79/680,
Effective functioning of the organization,VII,Public information,28,Global Communications,DGC,2024,2023/24,750100.0,Other Assessed,A/79/680,
Effective functioning of the organization,XII,Safety and Security,34,Safety and security,DSS,2024,2023/24,3957100.0,Other Assessed,A/79/680,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ACABQ,2024,2023/24,744900.0,Other Assessed,A/79/680,
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2023/24,2484100.0,Other Assessed,A/79/680,
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2024,2023/24,17659500.0,Other Assessed,A/79/680,ERP
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",OTHER,2024,2023/24,460700.0,Other Assessed,A/79/680,Claims for closed PKO
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2024,2023/24,868500.0,Other Assessed,A/79/680,GSDM
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2024,2023/24,3405100.0,Other Assessed,A/79/680,PCRS
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2024,2023/24,18651900.0,Other Assessed,A/79/680,Umoja
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2024,2023/24,12365000.0,Other Assessed,A/79/680,Insurance
Promotion of international justice and law,III,International justice and law,8,Legal affairs,MICT,2024,2024,65459100.0,Other Assessed,A/79/555,2024 approved budget (expenditures data not yet available)
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,13,International Trade Centre,ITC,2024,2024,125294282.0,Voluntary,A/79/6,102 991.9 SwF 0.8220 to $1.00
